case,seed,dgx_status,dgx_finish,dgx_wall_s,v100_wall_s,dgx_ttft_s,v100_ttft_s,dgx_completion_tokens
S2,10101,completed,stop,33.01279398915358,25.826592006000283,0.6379096491727978,1.3936875729996245,864
S2,20202,completed,stop,37.91694047884084,32.610165366997535,0.6122561828233302,1.386795283993706,940
S2,30303,completed,stop,48.24331345711835,27.591301758002373,0.613943942124024,1.382081821000611,1210
S3,10101,completed,stop,25.640850882977247,18.142581631000212,0.5496363039128482,1.2661052789990208,687
S3,20202,completed,stop,53.081451375968754,17.990866733001894,0.5271385768428445,1.2718685770014417,1407
S3,30303,completed,stop,24.615806411020458,28.610509447004006,0.5237082750536501,1.2660136770064128,710
A1,10101,completed,stop,18.457831487990916,19.798309425000298,0.41346849990077317,1.1411559759999363,487
A1,20202,completed,stop,19.772828673012555,16.412827372994798,0.37938879104331136,1.1956251019946649,526
A1,30303,completed,stop,18.00852262787521,17.320827850999194,0.3817869268823415,1.1889589780039387,470
A2,10101,completed,stop,39.15089086582884,25.198474418997648,0.5872941249981523,1.2641136270030984,1083
A2,20202,completed,stop,35.41833268804476,28.52754217600159,0.56294174795039,1.2642325529959635,1002
A2,30303,completed,stop,37.94057584204711,27.64129228999809,0.5581531380303204,1.2829059470022912,1070
A3,10101,completed,stop,24.195245949085802,31.954904497004463,0.7067946251481771,1.6028390630017384,734
A3,20202,completed,stop,21.10433862078935,33.850293101000716,0.6847753918264061,1.6085084730002563,685
A3,30303,completed,stop,26.500639799050987,23.796663149005326,0.6893351571634412,1.6080094640055904,815
C1,10101,completed,stop,21.065242755925283,18.158338948000164,0.4433785679284483,1.1331643220000842,546
C1,20202,completed,stop,21.821674576960504,14.293725393006753,0.41838891291990876,1.1841855900056544,556
C1,30303,completed,stop,19.394086113898084,14.965712536002684,0.4238126880954951,1.1827812560004531,520
C2,10101,completed,stop,45.71448915498331,24.077715457999147,0.6215210158843547,1.3928465499993763,1272
C2,20202,completed,stop,30.276442386908457,23.553316083998652,0.6046282688621432,1.3997139989951393,853
C2,30303,completed,stop,31.966858052182943,30.926016498997342,0.5957582001574337,1.3885496299990336,935
C3,10101,completed,stop,22.32875853101723,15.053701894998085,0.5930628210771829,1.9365306190011324,651
C3,20202,completed,stop,18.268574471818283,9.821085055998992,0.5698290658183396,1.9338985709982808,530
C3,30303,completed,stop,20.441213899990544,11.618552782994811,0.5755008629057556,1.9451736559931305,580
D1,10101,completed,stop,17.11473400518298,16.134618977000173,0.4070321361068636,1.1327923879998707,663
D1,20202,completed,stop,18.53588831005618,18.1435665060053,0.3814269651193172,1.180002108005283,746
D1,30303,completed,stop,17.812529557850212,17.714602091000415,0.3787001648452133,1.184603939000226,725
D2,10101,completed,stop,45.31672172807157,39.78546163500141,1.4086980109568685,2.6561384329979774,1757
D2,20202,completed,stop,46.61310489103198,39.290290529999766,1.1595927751623094,2.783353317005094,1876
D2,30303,completed,stop,42.96032067388296,40.34221798199724,1.1499071288853884,2.7927591650004615,1719
D3,10101,completed,stop,68.70963924913667,56.03245640699606,0.9822893680538982,2.3526772769982927,2478
D3,20202,completed,stop,80.11030420893803,49.61302343499847,0.9571329220198095,2.4599916340011987,2801
D3,30303,completed,stop,68.22869281214662,61.39846805299749,0.9470979971811175,2.4536359819976497,2469
K1,10101,incomplete,length,269.0189911329653,57.32802323499982,1.5597976720891893,1.1043904950001888,8192
K1,20202,incomplete,length,263.27122027799487,47.96896628400282,0.33836905495263636,1.1082544130040333,8192
K1,30303,incomplete,length,264.742381028831,50.422243217995856,0.3366906999144703,1.1059009209930082,8192
K2,10101,completed,stop,46.71489844704047,34.63852798600419,0.5223596931900829,1.4694032370025525,1501
K2,20202,completed,stop,53.68044550996274,35.32657267199829,0.49005659599788487,1.526806673995452,1783
K2,30303,completed,stop,36.919148940825835,35.02000521300215,0.49216997693292797,1.5417677209989051,1239
K3,10101,incomplete,length,267.07161122513935,54.40092703099799,0.5442288222257048,1.5927344969968544,8192
K3,20202,incomplete,length,278.43373209098354,51.020540097000776,0.5332062009256333,1.5864189459971385,8192
K3,30303,incomplete,length,272.36981746088713,51.41605443700246,0.5446384029928595,1.590390370998648,8192
